Nationalité,1850,1860,1870,1880,1888,1900,1910,1920,1930,1941,1950,1960,1970,1980,1990,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009
Total ,2392740,2510494,2655001,2831787,2917754,3315443,3753293,3880320,4066400,4265703,4714992,5429061,6269783,6365960,6873687,7161645,7185025,7202955,7239041,7294794,7306702,7355358,7427740,7486539,7529222,7572699,7628376,7695584,7795750,7874088
Suisse,2321170,2395511,2518240,2635067,2688104,2932019,3201282,3477935,3710878,4042149,4429546,4844322,5189707,5420986,5628255,5698764,5711852,5721307,5739892,5757814,5779685,5808100,5836887,5863241,5890439,5917216,5954212,5991401,6032141,6071802
Etranger,71570,114983,150907,211035,229650,383424,552011,402385,355522,223554,285446,584739,1080076,944974,1245432,1462881,1473173,1481648,1499149,1536980,1527017,1547258,1590853,1623298,1638783,1655483,1674164,1704183,1763609,1802286
Europe,71400,114400,149300,209600,228115,380719,547447,398459,350696,216550,271948,552725,1042372,889995,1125437,1304507,1307263,1306699,1313942,1341465,1322547,1333285,1361429,1383514,1397773,1413093,1430071,1454192,1501322,1530913
Pays de l'UE/AELE,...,...,...,...,...,373693,531638,372223,330607,205856,255898,537639,975534,760462,845894,883689,873665,863459,852487,853582,860338,869881,893435,917762,937814,961579,990578,1024552,1080672,1116356
Allemagne,28316,47792,57245,95262,112342,168451,219530,149833,134561,78274,55437,93406,118289,87913,86197,96906,98844,101327,104124,109960,118360,127088,139231,151095,163924,181196,201497,224324,251527,265944
France,29894,46534,62228,54372,53627,58522,63695,57196,37303,24396,27470,31328,55864,47570,52715,57510,58452,59074,60090,62865,64950,66372,69322,71640,74001,76382,79528,83129,90004,94814
Italie,6123,13828,18073,41530,41881,117059,202809,134628,127093,96018,140280,346223,583850,418989,383204,365148,355777,347556,338917,332205,325884,319909,315574,311961,307721,303456,299074,295507,295066,293933
Autriche,...,...,...,...,...,23433,37639,21680,20095,,22153,37762,44734,32135,30172,29746,29612,29596,29453,29718,30761,31896,33868,34665,35033,35410,35479,36155,37282,37973
Portugal,...,...,...,26,8,74,147,155,114,63,173,386,3632,18943,110312,142416,144337,143264,140767,140451,141483,143353,151839,164729,173280,180765,187019,193299,205545,213232
Espagne,...,68,349,242,320,679,971,1102,1316,1051,1212,13524,121239,107510,124127,103275,99326,95645,91913,88232,84979,82562,80680,78660,76080,73137,69999,66520,65774,65687
Yougoslavie 3),...,...,...,...,32,68,287,1235,1081,648,892,1169,24971,60916,172777,187943,190369,194517,198131,4182,5507,...,...,...,...,...,...,...,...,...
Serbie-et-Monténégro 3),...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,18182,21385,23720,36995,241976,210858,212434,214046,213853,211287,207514,201254,196128,191655,187554
Serbie 4),...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
Monténégro,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
Kosovo,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
Croatie,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,43763,44311,44218,43823,44143,44198,44282,43759,43024,42063,40850,39404,38115,36393,35259
Bosnie et Herzégovine,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,40224,40134,38475,36834,49165,51165,51390,51791,50506,48919,46803,44134,41689,39330,37397
Macédoine,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,40134,45630,48894,51460,54315,56338,59487,61231,61470,61555,61327,60736,60516,60204,60293
Turquie,...,...,...,40,65,222,520,964,736,375,590,645,12215,38626,81655,83765,84291,84117,83986,84020,83446,83750,83494,82133,80475,78724,76802,75391,74147,73275
Autre pays européen,...,...,...,...,...,6804,15289,25272,18272,9761,14568,13272,29632,29991,25111,95495,94795,96296,97449,100233,104618,110762,116594,119778,123435,127529,135145,143419,154395,165552
Afrique,...,...,...,...,70,231,417,589,488,313,600,1945,5113,11039,24768,38567,41013,43586,46652,49798,52145,54880,61047,64917,65226,64841,65578,66745,71026,73553
Amérique,86,425,1404,1111,1257,2107,2994,2682,3381,1331,4040,10828,18419,20455,30357,40127,42314,44505,46510,48754,51345,54829,57884,59814,61766,64232,65963,69016,72906,75934
Asie,...,...,...,...,161,311,1072,570,836,651,2106,4119,8298,21883,62380,77012,79794,83848,88919,93311,96960,99542,105017,109100,108780,108481,107717,109266,113065,116398
"Australie, Océanie",...,...,...,...,47,56,81,85,121,50,155,418,1047,1299,1763,2051,2085,2174,2339,2652,2921,3275,3487,3433,3453,3427,3524,3777,4071,4174
Apatride / Inconnu 5),...,12,123,14,...,...,...,...,...,4659,6597,14704,4827,303,727,617,704,836,787,1000,1099,1447,1989,2520,1785,1409,1311,1187,1219,1314
